,title,company,location,salary,post_date,career_level,qualification,experience,job_type,industry
137,Network Engineer Trainee,ECCOM Network (HK) Limited,Wan Chai Area,Salary provided,Posted on 12 Apr 2021,Entry Level,Degree,N/A,"Full Time, Part Time",Information Technology
138,System Analyst (Application Development),Hong Kong Air Cargo Terminals Ltd,Airport Area,Salary provided,Posted on 12 Apr 2021,Middle,Degree,6 years,"Full Time, Permanent",Freight Forwarding / Delivery / Shipping
139,IT Business Analyst,Manpower Services (Hong Kong) Limited,Mong Kok,Salary provided,Posted on 12 Apr 2021,Not Specified,Not Specified,Not Specified,"Contract, Full Time",Banking
140,Senior Developer,Bee Games Limited,Tsim Sha Tsui,Salary provided,Posted on 12 Apr 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Others
141,Web Programmer,Creasant Digital Limited,Ngau Tau Kok,Salary negotiable,Posted on 12 Apr 2021,Not Specified,Non-Degree Tertiary,1 year,"Full Time, Permanent",Information Technology
142,IT Assistant Manager (In-House),Kelly Services Hong Kong Limited,Kwai Fong,Salary provided,Posted on 12 Apr 2021,Middle,Degree,6 years,Full Time,Information Technology
143,IT Manager,TGI (Far East) Limited,Hung Hom,Salary provided,Posted on 09 Apr 2021,Middle,Non-Degree Tertiary,5 years,Full Time,Trading and Distribution
144,Network Administrator,SJ Holding Limited,Kwai Fong,Salary provided,Posted on 12 Apr 2021,Not Specified,Not Specified,Not Specified,Full Time,Freight Forwarding / Delivery / Shipping
145,Application Specialist,Computershare Hong Kong Investor Services Limited,Wan Chai,Salary provided,Posted on 12 Apr 2021,Middle,Degree,5 years,"Full Time, Permanent",Financial Services
146,System Analyst / Senior Analyst Programmer - Java,Neo Derm (HK) Ltd,Tai Koo,Salary provided,Posted on 12 Apr 2021,Middle,Degree,5 years,"Full Time, Permanent",Health & Beauty Care
147,"ANALYST PROGRAMMER / SENIOR ANALYST PROGRAMMER (.NET, MS SQL, API, CSS, JavaScript)",Global Logistics System (HK) Co Ltd,Airport Area,Salary provided,Posted on 12 Apr 2021,Middle,Degree,2 years,Full Time,Information Technology
148,Senior Application Architect (Insurance),Argyll Scott Asia,,Salary provided,Posted on 12 Apr 2021,Senior,Degree,N/A,"Full Time, Permanent","Information Technology (IT), Information Technology (IT) > IT Management, Information Technology (IT) > Software Development"
149,Data Center Operator 數據中心運維工程師,"EZSVS (Hongkong) Co., Limited",Kowloon Bay,Salary provided,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,1 year,Full Time,Telecommunication
150,NOC Engineer (Networking) (Perm Role) (Welcome Fresh Graduate),PeopleLink Services Limited,,Salary provided,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,N/A,"Full Time, Permanent",Telecommunication
151,IT Support Engineer ,Pathlab Medical Laboratories Limited,North Point,"HK$17,000 - HK$20,000 /month (negotiable)",Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,1 year,Full Time,Medical / Pharmaceutical
152,UX Researcher (6 month contract),Hays,,Salary provided,Posted on 12 Apr 2021,Middle,Degree,N/A,"Full Time, Temporary","Information Technology (IT) > Product Management / Business Analyst, Information Technology (IT) > UI/UX Designer"
153,Assistant Project Manager ,Hang Seng Bank Ltd,,Salary provided,Posted on 12 Apr 2021,Middle,Degree,3 years,"Full Time, Permanent","Banking / Finance > Corporate Banking, Information Technology (IT) > Product Management / Business Analyst, Information Technology (IT) > Others"
154,Assistant IT Manager,ASICS HongKong Limited,Kwun Tong,Salary provided,Posted on 12 Apr 2021,Middle,Degree,3 years,"Full Time, Permanent",Wholesale / Retail
155,Senior Software Engineer,Morgan McKinley,,"HK$45,000 - HK$55,000 /month (negotiable)",Posted on 12 Apr 2021,Middle,Degree,5 years,"Full Time, Permanent","Information Technology (IT) > Application Specialist - Software, Information Technology (IT) > Software Development, E-commerce > Software Development"
156,Web Developer / Programmer ( Advertising / 5 days working / 1 year Contract) ,I-Proactive Recruitment Consultant Company,Tsuen Wan Area,Salary provided,Posted on 12 Apr 2021,Entry Level,Degree,1 year,"Contract, Full Time",Advertising / Public Relations / Marketing Services
157,"Summer Intern, Customer Analytics",Principal Trust Company (Asia) Limited,Kwun Tong,Posted on 12 Apr 2021,Posted on 12 Apr 2021,Not Specified,Not Specified,Not Specified,Internship,Information Technology (IT) > Data Scientist
158,(Part Time/ Freelance) IT Specialist - E-commerce Program Developer,JWE Group Limited,Lai Chi Kok,Salary provided,Posted on 12 Apr 2021,Entry Level,(N/A),N/A,"Freelance, Part Time",Trading and Distribution
159,Data Centre Operator (up to $20K),CL Technical Services Ltd.,Central & Western Area,Salary provided,Posted on 12 Apr 2021,Not Specified,Not Specified,Not Specified,Full Time,Information Technology
160,Senior System Engineer/System Engineer,Excel Technology International (Hong Kong) Limited,Quarry Bay,Salary negotiable,Posted on 12 Apr 2021,Not Specified,Matriculated,Not Specified,"Full Time, Permanent",Information Technology
161,Fullstack Developer - C# or Python + JS,Prime Insight,Others,Salary provided,Posted on 12 Apr 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent","Information Technology (IT) > Application Specialist - Software, Information Technology (IT) > Software Development"
162,Analyst Programmer (Web & Mobile Development),Jardine Airport Services Limited,Airport Area,Salary provided,Posted on 12 Apr 2021,Middle,Non-Degree Tertiary,2 years,Full Time,Tourism / Travel Agency
163,System Analyst / Analyst Programmer,Christian Alliance International School,Lai Chi Kok,Salary provided,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,3 years,"Full Time, Permanent",Education
164,Application Developer,Central Business Information Limited,Wan Chai,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,N/A,"Contract, Internship, Part Time",Research / Survey
165, IT Programmer,Central Business Information Limited,Wan Chai,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,1 year,"Full Time, Permanent",Research / Survey
166,Analyst Programmer,Central Business Information Limited,Wan Chai,Salary negotiable,Posted on 12 Apr 2021,Middle,Non-Degree Tertiary,3 years,"Full Time, Permanent",Research / Survey
167,Network Specialist ,Otto International (HK) Ltd,Hung Hom,Salary provided,Posted on 12 Apr 2021,Middle,Not Specified,3 years,"Full Time, Permanent",Trading and Distribution
168,Product Manager / Bid Manager,Classy Wheeler Limited,,Salary negotiable,Posted on 12 Apr 2021,Middle,Degree,5 years,"Full Time, Permanent","Engineering > Engineering Project Management, Information Technology (IT) > IT Project Management / Team Lead, Information Technology (IT) > Technical / Functional Consulting"
169,IT Specialist (Network & Security),Schneider Electric (Hong Kong) Ltd,Quarry Bay,Salary provided,Posted on 12 Apr 2021,Not Specified,Non-Degree Tertiary,5 years,"Full Time, Permanent",Electronics / Electrical Equipment
170,Web / Mobile Programmer,IT Department Limited,Kwun Tong,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,1 year,Full Time,Information Technology
171,Business Analyst - Trainee / Pre-Sales Consultant,Flexsystem Ltd,Kwai Tsing Area,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,N/A,Full Time,Information Technology
172,Urgent - Senior IT Officer (Japanese F&B company)*Up to 35K,"JAC Recruitment Hong Kong Co., Limited",Shatin Area,Salary negotiable,Posted on 12 Apr 2021,Entry Level,(N/A),3 years,"Full Time, Permanent",Food and Beverage
173,System Analyst (Ref:12-APR-2021/ITO/JD),Sik Sik Yuen,Wong Tai Sin Area,Salary provided,Posted on 12 Apr 2021,Not Specified,Not Specified,Not Specified,"Contract, Full Time","Information Technology (IT) > Application Specialist - Software, Information Technology (IT) > Application Specialist - Network, Others > Others"
174,Application Programmer and Project Executive,Flexsystem Ltd,Kwai Tsing Area,Salary negotiable,Posted on 12 Apr 2021,Middle,Non-Degree Tertiary,N/A,Full Time,Information Technology
175,Mobile App Developer ,P L Technology Limited,Tai Po Area,Salary provided,Posted on 12 Apr 2021,Entry Level,Not Specified,Not Specified,"Full Time, Permanent",Information Technology
176,"Graduate Trainee | HKD 15,000 - 22,000 per month | Fresh grad / fresh graduate welcome",Venturenix Limited,Sheung Wan,Salary provided,Posted on 12 Apr 2021,Not Specified,Not Specified,Not Specified,Permanent,Information Technology (IT) > Application Specialist - Software
177,"Senior Officer, Information Technology Systems Development",Mother's Choice Limited,Central,Salary provided,Posted on 12 Apr 2021,Middle,Degree,5 years,"Contract, Full Time",Charity / Social Services / Non-Profit Organisation
178,IT Support Engineer (Fresh Graduates are welcome),Ebroker Systems Ltd,Central,Salary provided,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,1 year,Full Time,Information Technology
179,System Operator (Fresh Graduates are welcome),"Ashley, Brookes & Coleman Limited",Tsim Sha Tsui,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,1 year,"Full Time, Permanent",Human Resources Management / Consultancy
180,Senior Frontend Developer (HTML5 / NodeJS / React),GoAnimate Hong Kong Limited,Sheung Wan,Salary provided,Posted on 12 Apr 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Information Technology (IT) > Software Development
181,Analyst Programmer (Java),"Ashley, Brookes & Coleman Limited",Tsim Sha Tsui,Salary provided,Posted on 12 Apr 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Human Resources Management / Consultancy
182,Multimedia Support Specialist,VEGA Services Limited,,Salary provided,Posted on 12 Apr 2021,Entry Level,Degree,2 years,"Full Time, Permanent",Engineering - Others
183,Mobile App Developer (iOS),"Ashley, Brookes & Coleman Limited",Tsim Sha Tsui,Salary negotiable,Posted on 12 Apr 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Human Resources Management / Consultancy
184,Associate Business Analyst / Business Analyst,SML (Hong Kong) Limited,Kwun Tong Area,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,N/A,"Full Time, Permanent",Manufacturing
185,Senior Mobile App Developer,GoAnimate Hong Kong Limited,Sheung Wan,Salary provided,Posted on 12 Apr 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Information Technology (IT) > Software Development
186,Digital Program Manager (Insurance industry),Primetech Technology Limited,Others,Salary negotiable,Posted on 12 Apr 2021,Not Specified,Not Specified,Not Specified,"Contract, Full Time, Permanent",Information Technology
187,Bioinformatician,Pangenia Group,Kowloon Bay,Salary provided,Posted on 12 Apr 2021,Middle,Postgraduate,1 year,Full Time,Laboratory
188,Software Engineer / Analyst Programmer / Web Application Developer,Hong Kong Education City Limited,Shatin Area,Salary negotiable,Posted on 12 Apr 2021,Middle,Degree,2 years,Full Time,Education
189,System Administrator,Hong Kong Education City Limited,Shatin Area,Salary negotiable,Posted on 12 Apr 2021,Middle,Degree,2 years,Full Time,Education
190,Technical Support,Pacific Textiles Ltd,Kwai Hing,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Degree,N/A,"Full Time, Permanent",Clothing / Garment / Textile
191,IT Technical Support Officer ,Taylor Coulter,Shatin Area,"HK$20,000 - HK$25,000 /month (negotiable)",Posted on 12 Apr 2021,Entry Level,Postgraduate,2 years,"Contract, Full Time",Human Resources Management / Consultancy
192,Business Analyst,"Ashley, Brookes & Coleman Limited",Tsim Sha Tsui,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Degree,2 years,"Full Time, Permanent",Human Resources Management / Consultancy
193,System Engineer (Telecommunication / Wireless / 5G/ Mobile Network Operator),AJob,Kwun Tong,Salary provided,Posted on 12 Apr 2021,Middle,Degree,3 years,"Full Time, Permanent",Engineering - Electrical / Electronic / Mechanical
194,System Analyst,iAsia Online Systems Limited,Yau Tsim Mong Area,Salary negotiable,Posted on 12 Apr 2021,Not Specified,Non-Degree Tertiary,5 years,"Full Time, Permanent",Information Technology
195,Quality Assurance Engineer,iAsia Online Systems Limited,Yau Tsim Mong Area,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,Not Specified,"Full Time, Permanent",Information Technology
196,IT Systems Support Technician,Beacon Events Ltd,Wan Chai Area,Salary negotiable,Posted on 12 Apr 2021,Not Specified,Non-Degree Tertiary,3 years,"Full Time, Permanent",Advertising / Public Relations / Marketing Services
197,"Assistant, Product Development & Management (1-year contract)",FWD Life Insurance Company (Bermuda) Limited,Wan Chai,Salary provided,Posted on 12 Apr 2021,Entry Level,Degree,1 year,Full Time,"Banking / Finance > Others, Information Technology (IT) > Support, Manufacturing > Product Development / Management"
198,Business Architect,PCCW Solutions Limited,Yau Tsim Mong Area,Salary negotiable,Posted on 12 Apr 2021,Senior,Degree,10 years,Full Time,"Information Technology (IT), Information Technology (IT) > IT Project Management / Team Lead"
199,System Development Manager-IT (Middle Tier),Hong Kong Exchanges and Clearing Limited,Tseung Kwan O,Salary negotiable,Posted on 12 Apr 2021,Middle,Degree,6 years,Full Time,"Information Technology (IT), Information Technology (IT) > Application Specialist - Network, Information Technology (IT) > Network & System"
200,Customer Service Representative (Public Sector- IT Helpdesk Support ),HKT Teleservices,Sheung Wan,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,2 years,"Full Time, Permanent",Telecommunication
201,各級經理 /主任 /實習生 /Manager /Officer /Interns,Prudential Hong Kong Limited,Tsim Sha Tsui,"HK$55,000 - HK$90,000 /month ",Posted on 12 Apr 2021,Entry Level,Degree,N/A,"Contract, Freelance, Full Time, Internship, Part Time, Permanent, Temporary",Financial Services
202,Junior Software Developer (Ecommerce),Navy Nicy Company Limited,Lai Chi Kok,Salary provided,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,N/A,"Full Time, Permanent",Information Technology
203,Web Designer / UIUX Designer (FRESH GRAD will be considered),Plotio Financial Group Limited,Yau Tsim Mong Area,Salary provided,Posted on 12 Apr 2021,Middle,Non-Degree Tertiary,1 year,Full Time,Financial Services
204,Senior Support Engineer,FunctionEight Ltd,Wan Chai,Salary provided,Posted on 12 Apr 2021,Middle,Non-Degree Tertiary,3 years,"Full Time, Permanent",Information Technology
205,Mobile Application Developer (Android),China Mobile Hong Kong 中國移動香港,Kwai Hing,Posted on 12 Apr 2021,Posted on 12 Apr 2021,Entry Level,Degree,2 years,"Full Time, Permanent",Telecommunication
206,UI/UX Designer (VTT243/J01),VTech Telecommunications Limited,Tai Po Area,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,1 year,"Full Time, Permanent",Manufacturing
207,Senior SAP Developer,Puma Asia Pacific Limited,Kowloon Bay,Salary provided,Posted on 12 Apr 2021,Middle,Degree,3 years,"Full Time, Permanent",Wholesale / Retail
208,IT Support Officer,Freeman Securities Limited,Wan Chai,Salary negotiable,Posted on 12 Apr 2021,Entry Level,Non-Degree Tertiary,2 years,"Full Time, Permanent",Financial Services
209,Programmer / Application Support,Job Station Personnel Agency Limited,Cheung Sha Wan,Salary provided,Posted on 12 Apr 2021,Entry Level,Degree,1 year,"Full Time, Permanent",Information Technology
210,Business Analyst - Sal. up to 67k per month,Manpower Services (Hong Kong) Limited,Kowloon City Area,Salary provided,Posted on 12 Apr 2021,Middle,Degree,8 years,Contract,Information Technology (IT) > Product Management / Business Analyst
